order_id,customer_id,product_id,order_date,quantity,unit_price,region
O00001,C0065,P017,2026-05-17,2,10578.89,South
O00002,C0095,P014,2025-08-08,3,3715.78,North
O00003,C0105,P019,2025-10-07,2,8361.45,North
O00004,C0093,P019,2026-05-04,3,7213.03,West
O00005,C0069,P038,2025-02-14,1,4854.48,West
O00006,C0102,P010,2025-01-01,3,6973.62,West
O00007,C0079,P011,2025-02-24,1,2354.5,West
O00008,C0027,P007,2025-08-19,2,1734.66,West
O00009,C0039,P013,2026-01-13,2,997.45,North
O00010,C0076,P036,2025-02-24,2,4442.66,East
O00011,C0063,P015,2025-01-09,1,2895.71,East
O00012,C0074,P029,2025-07-30,1,10215.33,North
O00013,C0070,P010,2025-06-14,2,10767.21,South
O00014,C0064,P033,2025-08-23,1,6062.2,South
O00015,C0062,P011,2026-04-24,3,3054.46,South
O00016,C0005,P006,2025-08-20,1,2607.87,South
O00017,C0069,P005,2026-05-10,3,2180.13,West
O00018,C0010,P040,2026-04-03,2,6874.18,North
O00019,C0060,P001,2025-01-26,4,5581.49,North
O00020,C0008,P040,2025-06-14,1,8045.87,East
O00021,C0013,P002,2025-06-08,3,6214.78,West
O00022,C0064,P003,2026-02-10,3,10358.39,South
O00023,C0105,P003,2026-03-08,1,9024.32,North
O00024,C0029,P036,2026-03-30,1,3793.83,North
O00025,C0017,P006,2025-02-12,1,1944.39,West
O00026,C0070,P018,2025-02-04,2,8170.1,North
O00027,C0002,P038,2025-07-02,2,5999.25,South
O00028,C0043,P011,2025-07-04,3,2503.64,South
O00029,C0008,P030,2025-02-27,2,8767.39,East
O00030,C0056,P029,2026-03-22,2,10614.17,South
O00031,C0010,P034,2026-05-11,4,11366.96,North
O00032,C0106,P025,2025-05-23,1,7261.75,North
O00033,C0092,P001,2025-03-12,1,4067.73,North
O00034,C0050,P038,2025-01-13,3,5585.88,North
O00035,C0032,P012,2025-08-06,1,1265.26,East
O00036,C0009,P036,2025-07-25,4,3425.23,West
O00037,C0037,P012,2026-04-27,1,1664.11,North
O00038,C0081,P037,2026-05-17,2,6130.79,East
O00039,C0111,P014,2025-06-06,2,4261.36,North
O00040,C0066,P011,2026-02-27,1,2620.66,East
O00041,C0114,P034,2025-09-03,1,7889.61,West
O00042,C0067,P025,2025-03-06,2,7355.34,North
O00043,C0003,P028,2025-11-22,2,2549.77,West
O00044,C0112,P037,2025-08-08,2,6436.64,North
O00045,C0084,P007,2025-03-16,1,1766.69,South
O00046,C0038,P024,2025-05-15,1,1066.62,North
O00047,C0010,P008,2026-05-08,1,1049.3,North
O00048,C0073,P035,2025-05-16,1,2981.62,East
O00049,C0002,P025,2025-11-05,3,6431.32,North
O00050,C0077,P034,2026-06-07,2,10804.63,South
O00051,C0019,P039,2025-05-21,3,8034.62,North
O00052,C0018,P034,2025-03-12,3,9155.81,North
O00053,C0056,P027,2025-08-01,1,6060.14,North
O00054,C0043,P037,2025-03-02,3,6514.11,East
O00055,C0106,P024,2025-11-16,1,1435.81,South
O00056,C0042,P031,2025-03-22,1,7390.92,West
O00057,C0019,P006,2025-03-12,1,2691.35,North
O00058,C0111,P006,2025-07-09,4,2772.24,East
O00059,C0092,P021,2025-08-29,2,1436.48,East
O00060,C0025,P028,2025-11-22,3,3521.84,North
O00061,C0101,P001,2026-03-15,3,3915.64,West
O00062,C0086,P018,2026-05-05,4,6980.73,East
O00063,C0106,P036,2025-07-12,2,3334.89,West
O00064,C0087,P031,2025-05-21,2,8114.75,South
O00065,C0004,P010,2026-06-14,4,9312.75,North
O00066,C0091,P011,2025-11-19,3,2855.54,East
O00067,C0047,P037,2026-02-27,2,6294.31,South
O00068,C0060,P021,2026-04-26,3,1693.75,East
O00069,C0043,P025,2025-05-02,4,6746.88,North
O00070,C0109,P011,2025-06-13,4,2969.87,North
O00071,C0057,P038,2025-08-29,2,6065.33,North
