product_id,product_name,category,cost_price
P001,Casual Item 001,Casual Wear,3057.08
P002,Accessories Item 002,Accessories,3783.19
P003,Footwear Item 003,Footwear,5041.14
P004,Bridal Item 004,Bridal Wear,3902.81
P005,Casual Item 005,Casual Wear,1262.5
P006,Accessories Item 006,Accessories,1549.88
P007,Footwear Item 007,Footwear,1049.68
P008,Bridal Item 008,Bridal Wear,795.13
P009,Casual Item 009,Casual Wear,1006.88
P010,Accessories Item 010,Accessories,5295.4
P011,Footwear Item 011,Footwear,1595.42
P012,Bridal Item 012,Bridal Wear,918.61
P013,Casual Item 013,Casual Wear,578.77
P014,Accessories Item 014,Accessories,2633.25
P015,Footwear Item 015,Footwear,1701.88
P016,Bridal Item 016,Bridal Wear,1072.91
P017,Casual Item 017,Casual Wear,5275.84
P018,Accessories Item 018,Accessories,4056.1
P019,Footwear Item 019,Footwear,4714.1
P020,Bridal Item 020,Bridal Wear,3198.4
P021,Casual Item 021,Casual Wear,1085.72
P022,Accessories Item 022,Accessories,5020.0
P023,Footwear Item 023,Footwear,4705.67
P024,Bridal Item 024,Bridal Wear,724.8
P025,Casual Item 025,Casual Wear,4747.54
P026,Accessories Item 026,Accessories,4470.71
P027,Footwear Item 027,Footwear,3649.59
P028,Bridal Item 028,Bridal Wear,1834.63
P029,Casual Item 029,Casual Wear,5941.08
P030,Accessories Item 030,Accessories,4638.45
P031,Footwear Item 031,Footwear,4793.02
P032,Bridal Item 032,Bridal Wear,1996.01
P033,Casual Item 033,Casual Wear,3410.61
P034,Accessories Item 034,Accessories,5737.08
P035,Footwear Item 035,Footwear,2028.63
P036,Bridal Item 036,Bridal Wear,2353.03
P037,Casual Item 037,Casual Wear,3332.96
P038,Accessories Item 038,Accessories,2998.67
P039,Footwear Item 039,Footwear,5019.89
P040,Bridal Item 040,Bridal Wear,4845.37
