return_id,order_id,return_date,reason
R0001,O00497,2025-05-29,Size issue
R0002,O00862,2025-09-13,Changed mind
R0003,O00412,2026-05-30,Size issue
R0004,O00653,2025-07-05,Damaged
R0005,O00675,2026-05-28,Size issue
R0006,O00478,2026-07-04,Changed mind
R0007,O00354,2026-03-30,Changed mind
R0008,O00311,2025-06-05,Not as described
R0009,O00945,2025-02-23,Size issue
R0010,O01385,2025-04-06,Size issue
R0011,O00557,2025-08-19,Changed mind
R0012,O00009,2026-01-24,Size issue
R0013,O00908,2025-04-30,Not as described
R0014,O01429,2025-06-11,Changed mind
R0015,O00636,2025-06-07,Changed mind
R0016,O00762,2026-03-13,Not as described
R0017,O01239,2026-03-06,Damaged
R0018,O00854,2025-08-26,Not as described
R0019,O00697,2026-06-16,Size issue
R0020,O00324,2025-07-10,Changed mind
R0021,O00105,2025-09-11,Changed mind
R0022,O01256,2025-11-21,Changed mind
R0023,O00326,2025-11-20,Size issue
R0024,O00839,2025-08-22,Changed mind
R0025,O01018,2026-03-18,Size issue
R0026,O01443,2025-10-21,Not as described
R0027,O00320,2026-05-20,Damaged
R0028,O00738,2025-11-27,Changed mind
R0029,O00963,2025-05-12,Not as described
R0030,O01398,2025-09-07,Changed mind
R0031,O01371,2025-10-19,Damaged
R0032,O01021,2026-07-04,Damaged
R0033,O00720,2025-07-24,Size issue
R0034,O01040,2025-03-04,Not as described
R0035,O00305,2025-11-27,Changed mind
R0036,O00208,2026-04-30,Changed mind
R0037,O00858,2025-06-10,Size issue
R0038,O00029,2025-03-08,Changed mind
R0039,O00348,2025-04-25,Changed mind
R0040,O00956,2025-12-05,Size issue
R0041,O00185,2025-05-04,Damaged
R0042,O00709,2026-03-02,Size issue
R0043,O01381,2025-03-02,Changed mind
R0044,O00350,2025-12-30,Changed mind
R0045,O01115,2026-01-27,Size issue
R0046,O00085,2025-08-14,Damaged
R0047,O00778,2025-03-20,Changed mind
R0048,O00582,2025-11-29,Changed mind
R0049,O00997,2025-06-23,Size issue
R0050,O01424,2026-03-25,Changed mind
R0051,O00783,2026-01-24,Not as described
R0052,O01165,2025-06-19,Changed mind
R0053,O00743,2026-05-26,Damaged
R0054,O00821,2025-11-20,Changed mind
R0055,O00921,2025-07-12,Size issue
R0056,O00407,2026-04-24,Not as described
R0057,O00918,2026-06-01,Changed mind
R0058,O00097,2026-03-11,Damaged
R0059,O00067,2026-03-09,Damaged
R0060,O01326,2025-11-19,Damaged
R0061,O00276,2026-04-09,Size issue
R0062,O00786,2026-01-11,Not as described
R0063,O00089,2026-03-16,Changed mind
R0064,O00156,2026-04-23,Changed mind
R0065,O00973,2025-05-23,Changed mind
R0066,O00869,2026-05-02,Not as described
R0067,O01130,2025-07-19,Size issue
R0068,O01117,2026-06-21,Changed mind
R0069,O00830,2026-01-26,Damaged
R0070,O01422,2026-04-24,Damaged
R0071,O00605,2025-08-11,Damaged
R0072,O01254,2025-05-02,Not as described
R0073,O01189,2025-06-23,Damaged
R0074,O01129,2026-04-28,Changed mind
R0075,O00546,2025-04-09,Size issue
R0076,O01126,2026-05-09,Size issue
R0077,O01214,2025-01-05,Damaged
R0078,O00409,2026-04-16,Damaged
R0079,O00296,2025-11-20,Not as described
R0080,O01174,2026-06-06,Not as described
R0081,O01308,2026-02-08,Not as described
R0082,O00304,2025-10-20,Changed mind
R0083,O00041,2025-09-17,Damaged
R0084,O01268,2026-04-08,Changed mind
R0085,O01314,2025-12-19,Not as described
R0086,O00644,2025-09-15,Changed mind
R0087,O00088,2026-05-20,Damaged
R0088,O00245,2025-05-03,Changed mind
R0089,O00920,2026-03-01,Size issue
R0090,O00634,2025-11-24,Damaged
R0091,O00736,2026-03-18,Changed mind
R0092,O00998,2025-02-03,Damaged
R0093,O01192,2025-05-18,Damaged
R0094,O01202,2026-02-21,Size issue
R0095,O00291,2025-02-10,Not as described
R0096,O01035,2025-02-01,Changed mind
R0097,O01168,2026-02-01,Not as described
R0098,O00780,2026-03-11,Size issue
R0099,O01080,2025-06-14,Changed mind
R0100,O01365,2025-12-10,Damaged
R0101,O01067,2026-06-16,Size issue
R0102,O00023,2026-03-11,Damaged
R0103,O01462,2025-04-06,Damaged
R0104,O01007,2025-02-25,Not as described
R0105,O00747,2026-05-07,Not as described
R0106,O00898,2025-11-28,Size issue
R0107,O00071,2025-09-14,Changed mind
R0108,O00580,2025-12-25,Size issue
R0109,O00928,2026-05-22,Damaged
R0110,O01100,2025-07-17,Size issue
R0111,O01191,2025-02-12,Damaged
R0112,O00916,2025-08-15,Size issue
R0113,O01419,2025-12-24,Size issue
R0114,O00047,2026-05-10,Not as described
R0115,O00680,2025-02-21,Damaged
R0116,O01251,2026-01-06,Not as described
R0117,O01020,2026-06-20,Size issue
R0118,O01148,2025-08-19,Size issue
R0119,O01217,2026-06-20,Damaged
R0120,O00442,2025-06-18,Changed mind
